,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
0,France,Mexico,4,1,home_team,False,False,False,1930-07-13,Group Stage,Montevideo,,1930
1,USA,Belgium,3,0,home_team,False,False,False,1930-07-13,Group Stage,Montevideo,,1930
2,Yugoslavia,Brazil,2,1,home_team,False,False,False,1930-07-14,Group Stage,Montevideo,,1930
3,Romania,Peru,3,1,home_team,False,False,False,1930-07-14,Group Stage,Montevideo,,1930
4,Argentina,France,1,0,home_team,False,False,False,1930-07-15,Group Stage,Montevideo,,1930
5,Chile,Mexico,3,0,home_team,False,False,False,1930-07-16,Group Stage,Montevideo,,1930
6,Yugoslavia,Bolivia,4,0,home_team,False,False,False,1930-07-17,Group Stage,Montevideo,,1930
7,USA,Paraguay,3,0,home_team,False,False,False,1930-07-17,Group Stage,Montevideo,,1930
8,Uruguay,Peru,1,0,home_team,False,False,False,1930-07-18,Group Stage,Montevideo,,1930
9,Chile,France,1,0,home_team,False,False,False,1930-07-19,Group Stage,Montevideo,,1930
10,Argentina,Mexico,6,3,home_team,False,False,False,1930-07-19,Group Stage,Montevideo,,1930
11,Brazil,Bolivia,4,0,home_team,False,False,False,1930-07-20,Group Stage,Montevideo,,1930
12,Paraguay,Belgium,1,0,home_team,False,False,False,1930-07-20,Group Stage,Montevideo,,1930
13,Uruguay,Romania,4,0,home_team,False,False,False,1930-07-21,Group Stage,Montevideo,,1930
14,Argentina,Chile,3,1,home_team,False,False,False,1930-07-22,Group Stage,Montevideo,,1930
15,Argentina,USA,6,1,home_team,False,False,False,1930-07-26,Semi-finals,Montevideo,,1930
16,Uruguay,Yugoslavia,6,1,home_team,False,False,False,1930-07-27,Semi-finals,Montevideo,,1930
17,Uruguay,Argentina,4,2,home_team,False,False,False,1930-07-30,Final,Montevideo,,1930
18,Italy,USA,7,1,home_team,False,False,False,1934-05-27,Round of 16,Rome,,1934
19,Czechoslovakia,Romania,2,1,home_team,False,False,False,1934-05-27,Round of 16,Trieste,,1934
20,Germany,Belgium,5,2,home_team,False,False,False,1934-05-27,Round of 16,Florence,,1934
21,Austria,France,3,2,home_team,False,False,False,1934-05-27,Round of 16,Turin,,1934
22,Spain,Brazil,3,1,home_team,False,False,False,1934-05-27,Round of 16,Genoa,,1934
23,Switzerland,Netherlands,3,2,home_team,False,False,False,1934-05-27,Round of 16,Milan,,1934
24,Sweden,Argentina,3,2,home_team,False,False,False,1934-05-27,Round of 16,Bologna,,1934
25,Hungary,Egypt,4,2,home_team,False,False,False,1934-05-27,Round of 16,Naples,,1934
26,Italy,Spain,1,1,draw,True,False,False,1934-05-31,Quarter-finals,Florence,,1934
27,Austria,Hungary,2,1,home_team,False,False,False,1934-05-31,Quarter-finals,Bologna,,1934
28,Czechoslovakia,Switzerland,3,2,home_team,False,False,False,1934-05-31,Quarter-finals,Turin,,1934
29,Germany,Sweden,2,1,home_team,False,False,False,1934-05-31,Quarter-finals,Milan,,1934
30,Italy,Spain,1,0,home_team,True,False,False,1934-06-01,Quarter-finals,Florence,,1934
31,Italy,Austria,1,0,home_team,False,False,False,1934-06-03,Semi-finals,Milan,,1934
32,Czechoslovakia,Germany,3,1,home_team,False,False,False,1934-06-03,Semi-finals,Rome,,1934
33,Germany,Austria,3,2,home_team,False,False,False,1934-06-07,Third Place,Naples,,1934
34,Italy,Czechoslovakia,2,1,home_team,False,False,False,1934-06-10,Final,Rome,,1934
35,Sweden,Estonia,6,2,home_team,False,False,False,,Preliminary,Stockholm,,1934
36,Lithuania,Sweden,0,2,away_team,False,False,False,,Preliminary,Kaunas,,1934
37,Yugoslavia,Switzerland,2,2,draw,False,False,False,,Preliminary,Beograd,,1934
38,Poland,Czechoslovakia,1,2,away_team,False,False,False,,Preliminary,Warszawa,,1934
39,Switzerland,Romania,2,0,home_team,False,False,False,,Preliminary,Bern,,1934
40,Haiti,Cuba,1,3,away_team,False,False,False,,Preliminary,Port-au-Prince,,1934
41,Haiti,Cuba,1,1,draw,False,False,False,,Preliminary,Port-au-Prince,,1934
42,Haiti,Cuba,0,6,away_team,False,False,False,,Preliminary,Port-au-Prince,,1934
43,Irish Free State,Belgium,4,4,draw,False,False,False,,Preliminary,Dublin,,1934
44,Mexico,Cuba,3,2,home_team,False,False,False,,Preliminary,México DF,,1934
45,Spain,Portugal,9,0,home_team,False,False,False,,Preliminary,Madrid,,1934
46,Luxembourg,Germany,1,9,away_team,False,False,False,,Preliminary,Luxembourg,,1934
47,Mexico,Cuba,5,0,home_team,False,False,False,,Preliminary,México DF,,1934
48,Egypt,Palestine,7,1,home_team,False,False,False,,Preliminary,Cairo,,1934
49,Portugal,Spain,1,2,away_team,False,False,False,,Preliminary,Lisboa,,1934
50,Mexico,Cuba,4,1,home_team,False,False,False,,Preliminary,México DF,,1934
51,Italy,Greece,4,0,home_team,False,False,False,,Preliminary,Milano,,1934
52,Bulgaria,Hungary,1,4,away_team,False,False,False,,Preliminary,Sofija,,1934
53,Palestine,Egypt,1,4,away_team,False,False,False,,Preliminary,Jerusalem,,1934
54,Netherlands,Irish Free State,5,2,home_team,False,False,False,,Preliminary,Amsterdam,,1934
55,Luxembourg,France,1,6,away_team,False,False,False,,Preliminary,Luxembourg,,1934
56,Austria,Bulgaria,6,1,home_team,False,False,False,,Preliminary,Wien,,1934
57,Hungary,Bulgaria,4,1,home_team,False,False,False,,Preliminary,Budapest,,1934
58,Romania,Yugoslavia,2,1,home_team,False,False,False,,Preliminary,Bucureşti,,1934
59,Belgium,Netherlands,2,4,away_team,False,False,False,,Preliminary,Antwerpen,,1934
60,USA,Mexico,4,2,home_team,False,False,False,,Preliminary,Roma,,1934
61,Italy,USA,7,1,home_team,False,False,False,,Preliminary,Roma,,1934
62,Austria,France,3,2,home_team,False,False,False,,Preliminary,Torino,,1934
63,Germany,Belgium,5,2,home_team,False,False,False,,Preliminary,Firenze,,1934
64,Czechoslovakia,Romania,2,1,home_team,False,False,False,,Preliminary,Trieste,,1934
65,Switzerland,Netherlands,3,2,home_team,False,False,False,,Preliminary,Milano,,1934
66,Sweden,Argentina,3,2,home_team,False,False,False,,Preliminary,Bologna,,1934
67,Spain,Brazil,3,1,home_team,False,False,False,,Preliminary,Genova,,1934
68,Hungary,Egypt,4,2,home_team,False,False,False,,Preliminary,Napoli,,1934
69,Switzerland,Germany,1,1,draw,True,False,False,1938-06-04,Round of 16,Paris,,1938
70,Cuba,Romania,3,3,draw,True,False,False,1938-06-05,Round of 16,Toulouse,,1938
71,Hungary,Dutch East Indies,6,0,home_team,False,False,False,1938-06-05,Round of 16,Reims,,1938
72,France,Belgium,3,1,home_team,False,False,False,1938-06-05,Round of 16,Paris,,1938
73,Czechoslovakia,Netherlands,3,0,home_team,False,False,False,1938-06-05,Round of 16,Le Havre,,1938
74,Brazil,Poland,6,5,home_team,False,False,False,1938-06-05,Round of 16,Strasbourg,,1938
75,Italy,Norway,2,1,home_team,False,False,False,1938-06-05,Round of 16,Marseille,,1938
76,Switzerland,Germany,4,2,home_team,True,False,False,1938-06-09,Round of 16,Paris,,1938
77,Cuba,Romania,2,1,home_team,True,False,False,1938-06-09,Round of 16,Toulouse,,1938
78,Sweden,Cuba,8,0,home_team,False,False,False,1938-06-12,Quarter-finals,Antibes,,1938
79,Hungary,Switzerland,2,0,home_team,False,False,False,1938-06-12,Quarter-finals,Lille,,1938
80,Italy,France,3,1,home_team,False,False,False,1938-06-12,Quarter-finals,Paris,,1938
81,Brazil,Czechoslovakia,1,1,draw,True,False,False,1938-06-12,Quarter-finals,Bordeaux,,1938
82,Brazil,Czechoslovakia,2,1,home_team,True,False,False,1938-06-14,Quarter-finals,Bordeaux,,1938
83,Italy,Brazil,2,1,home_team,False,False,False,1938-06-16,Semi-finals,Marseille,,1938
84,Hungary,Sweden,5,1,home_team,False,False,False,1938-06-16,Semi-finals,Paris,,1938
85,Brazil,Sweden,4,2,home_team,False,False,False,1938-06-19,Third Place,Bordeaux,,1938
86,Italy,Hungary,4,2,home_team,False,False,False,1938-06-19,Final,Paris,,1938
87,Sweden,Finland,4,0,home_team,False,False,False,,Preliminary,Stockholm,,1938
88,Sweden,Estonia,7,2,home_team,False,False,False,,Preliminary,Stockholm,,1938
89,Finland,Germany,0,2,away_team,False,False,False,,Preliminary,Helsinki,,1938
90,Latvia,Lithuania,4,2,home_team,False,False,False,,Preliminary,Rīga,,1938
91,Finland,Estonia,0,1,away_team,False,False,False,,Preliminary,Turku,,1938
92,Germany,Estonia,4,1,home_team,False,False,False,,Preliminary,Königsberg,,1938
93,Lithuania,Latvia,1,5,away_team,False,False,False,,Preliminary,Kaunas,,1938
94,Austria,Latvia,2,1,home_team,False,False,False,,Preliminary,Wien,,1938
95,Norway,Irish Free State,3,2,home_team,False,False,False,,Preliminary,Oslo,,1938
96,Poland,Yugoslavia,4,0,home_team,False,False,False,,Preliminary,Warszawa,,1938
97,Irish Free State,Norway,3,3,draw,False,False,False,,Preliminary,Dublin,,1938
98,Bulgaria,Czechoslovakia,1,1,draw,False,False,False,,Preliminary,Sofija,,1938
99,Germany,Sweden,5,0,home_team,False,False,False,,Preliminary,Hamburg,,1938
100,Netherlands,Luxembourg,4,0,home_team,False,False,False,,Preliminary,Rotterdam,,1938
101,Palestine,Greece,1,3,away_team,False,False,False,,Preliminary,Tel Aviv,,1938
