id_match,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
1,Qatar,Ecuador,0,2,away_team,False,False,False,2022-11-20,Group Stage,Al Khor,Al Bayt Stadium,2022
2,England,Iran,6,2,home_team,False,False,False,2022-11-21,Group Stage,Ar-Rayyan,Khalifa International Stadium,2022
3,Senegal,Netherlands,0,2,away_team,False,False,False,2022-11-21,Group Stage,Doha,Al Thumama Stadium,2022
4,United States,Wales,1,1,draw,False,False,False,2022-11-21,Group Stage,Ar-Rayyan,Ahmad Bin Ali Stadium,2022
5,Argentina,Saudi Arabia,1,2,away_team,False,False,False,2022-11-22,Group Stage,Al Daayen,Lusail Stadium,2022
6,Denmark,Tunisia,0,0,draw,False,False,False,2022-11-22,Group Stage,Doha,Education City Stadium,2022
7,Mexico,Poland,0,0,draw,False,False,False,2022-11-22,Group Stage,Doha,Stadium 974,2022
8,France,Australia,4,1,home_team,False,False,False,2022-11-22,Group Stage,Al Wakrah,Al Janoub Stadium,2022
9,Morocco,Croatia,0,0,draw,False,False,False,2022-11-23,Group Stage,Al Khor,Al Bayt Stadium,2022
10,Germany,Japan,1,2,away_team,False,False,False,2022-11-23,Group Stage,Ar-Rayyan,Khalifa International Stadium,2022
11,Spain,Costa Rica,7,0,home_team,False,False,False,2022-11-23,Group Stage,Doha,Al Thumama Stadium,2022
12,Belgium,Canada,1,0,home_team,False,False,False,2022-11-23,Group Stage,Ar-Rayyan,Ahmad Bin Ali Stadium,2022
13,Switzerland,Cameroon,1,0,home_team,False,False,False,2022-11-24,Group Stage,Al Wakrah,Al Janoub Stadium,2022
14,Uruguay,Korea Republic,0,0,draw,False,False,False,2022-11-24,Group Stage,Doha,Education City Stadium,2022
15,Portugal,Ghana,3,2,home_team,False,False,False,2022-11-24,Group Stage,Doha,Stadium 974,2022
16,Brazil,Serbia,2,0,home_team,False,False,False,2022-11-24,Group Stage,Al Daayen,Lusail Stadium,2022
17,Wales,Iran,0,2,away_team,False,False,False,2022-11-25,Group Stage,Ar-Rayyan,Ahmad Bin Ali Stadium,2022
18,Qatar,Senegal,1,3,away_team,False,False,False,2022-11-25,Group Stage,Doha,Al Thumama Stadium,2022
19,Netherlands,Ecuador,1,1,draw,False,False,False,2022-11-25,Group Stage,Ar-Rayyan,Khalifa International Stadium,2022
20,England,United States,0,0,draw,False,False,False,2022-11-25,Group Stage,Al Khor,Al Bayt Stadium,2022
21,Tunisia,Australia,0,1,away_team,False,False,False,2022-11-26,Group Stage,Al Wakrah,Al Janoub Stadium,2022
22,Poland,Saudi Arabia,2,0,home_team,False,False,False,2022-11-26,Group Stage,Doha,Education City Stadium,2022
23,France,Denmark,2,1,home_team,False,False,False,2022-11-26,Group Stage,Doha,Stadium 974,2022
24,Argentina,Mexico,2,0,home_team,False,False,False,2022-11-26,Group Stage,Al Daayen,Lusail Stadium,2022
25,Japan,Costa Rica,0,1,away_team,False,False,False,2022-11-27,Group Stage,Ar-Rayyan,Ahmad Bin Ali Stadium,2022
26,Belgium,Morocco,0,2,away_team,False,False,False,2022-11-27,Group Stage,Doha,Al Thumama Stadium,2022
27,Croatia,Canada,4,1,home_team,False,False,False,2022-11-27,Group Stage,Ar-Rayyan,Khalifa International Stadium,2022
28,Spain,Germany,1,1,draw,False,False,False,2022-11-27,Group Stage,Al Khor,Al Bayt Stadium,2022
29,Cameroon,Serbia,3,3,draw,False,False,False,2022-11-28,Group Stage,Al Wakrah,Al Janoub Stadium,2022
30,Korea Republic,Ghana,2,3,away_team,False,False,False,2022-11-28,Group Stage,Doha,Education City Stadium,2022
31,Brazil,Switzerland,1,0,home_team,False,False,False,2022-11-28,Group Stage,Doha,Stadium 974,2022
32,Portugal,Uruguay,2,0,home_team,False,False,False,2022-11-28,Group Stage,Al Daayen,Lusail Stadium,2022
33,Netherlands,Qatar,2,0,home_team,False,False,False,2022-11-29,Group Stage,Al Khor,Al Bayt Stadium,2022
34,Ecuador,Senegal,1,2,away_team,False,False,False,2022-11-29,Group Stage,Ar-Rayyan,Khalifa International Stadium,2022
35,Wales,England,0,3,away_team,False,False,False,2022-11-29,Group Stage,Ar-Rayyan,Ahmad Bin Ali Stadium,2022
36,Iran,United States,0,1,away_team,False,False,False,2022-11-29,Group Stage,Doha,Al Thumama Stadium,2022
37,Australia,Denmark,1,0,home_team,False,False,False,2022-11-30,Group Stage,Al Wakrah,Al Janoub Stadium,2022
38,Tunisia,France,1,0,home_team,False,False,False,2022-11-30,Group Stage,Doha,Education City Stadium,2022
39,Poland,Argentina,0,2,away_team,False,False,False,2022-11-30,Group Stage,Doha,Stadium 974,2022
40,Saudi Arabia,Mexico,1,2,away_team,False,False,False,2022-11-30,Group Stage,Al Daayen,Lusail Stadium,2022
41,Croatia,Belgium,0,0,draw,False,False,False,2022-12-01,Group Stage,Ar-Rayyan,Ahmad Bin Ali Stadium,2022
42,Canada,Morocco,1,2,away_team,False,False,False,2022-12-01,Group Stage,Doha,Al Thumama Stadium,2022
43,Japan,Spain,2,1,home_team,False,False,False,2022-12-01,Group Stage,Ar-Rayyan,Khalifa International Stadium,2022
44,Costa Rica,Germany,2,4,away_team,False,False,False,2022-12-01,Group Stage,Al Khor,Al Bayt Stadium,2022
45,Ghana,Uruguay,0,2,away_team,False,False,False,2022-12-02,Group Stage,Al Wakrah,Al Janoub Stadium,2022
46,Korea Republic,Portugal,2,1,home_team,False,False,False,2022-12-02,Group Stage,Doha,Education City Stadium,2022
47,Serbia,Switzerland,2,3,away_team,False,False,False,2022-12-02,Group Stage,Doha,Stadium 974,2022
48,Cameroon,Brazil,1,0,home_team,False,False,False,2022-12-02,Group Stage,Al Daayen,Lusail Stadium,2022
49,Netherlands,United States,3,1,home_team,False,False,False,2022-12-03,Round of 16,Ar-Rayyan,Khalifa International Stadium,2022
50,Argentina,Australia,2,1,home_team,False,False,False,2022-12-03,Round of 16,Ar-Rayyan,Ahmad Bin Ali Stadium,2022
