id_match,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
1,76,131,4,1,home_team,False,False,False,,Group Stage,Montevideo,,1930
2,213,21,3,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
3,226,28,2,1,home_team,False,False,False,,Group Stage,Montevideo,,1930
4,164,157,3,1,home_team,False,False,False,,Group Stage,Montevideo,,1930
5,10,76,1,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
6,41,131,3,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
7,226,25,4,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
8,213,156,3,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
9,218,157,1,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
10,41,76,1,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
11,10,131,6,3,home_team,False,False,False,,Group Stage,Montevideo,,1930
12,28,25,4,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
13,156,21,1,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
14,218,164,4,0,home_team,False,False,False,,Group Stage,Montevideo,,1930
15,10,41,3,1,home_team,False,False,False,,Group Stage,Montevideo,,1930
16,10,213,6,1,home_team,False,False,False,,Semi-finals,Montevideo,,1930
17,218,226,6,1,home_team,False,False,False,,Semi-finals,Montevideo,,1930
18,218,10,4,2,home_team,False,False,False,,Final,Montevideo,,1930
19,195,70,6,2,home_team,False,False,False,,Preliminary,Stockholm,,1934
20,119,195,0,2,away_team,False,False,False,,Preliminary,Kaunas,,1934
21,226,196,2,2,draw,False,False,False,,Preliminary,Beograd,,1934
22,159,53,1,2,away_team,False,False,False,,Preliminary,Warszawa,,1934
23,196,164,2,0,home_team,False,False,False,,Preliminary,Bern,,1934
24,91,49,1,3,away_team,False,False,False,,Preliminary,Port-au-Prince,,1934
25,91,49,1,1,draw,False,False,False,,Preliminary,Port-au-Prince,,1934
26,91,49,0,6,away_team,False,False,False,,Preliminary,Port-au-Prince,,1934
27,101,21,4,4,draw,False,False,False,,Preliminary,Dublin,,1934
28,131,49,3,2,home_team,False,False,False,,Preliminary,México DF,,1934
29,190,160,9,0,home_team,False,False,False,,Preliminary,Madrid,,1934
30,120,72,1,9,away_team,False,False,False,,Preliminary,Luxembourg,,1934
31,131,49,5,0,home_team,False,False,False,,Preliminary,México DF,,1934
32,65,153,7,1,home_team,False,False,False,,Preliminary,Cairo,,1934
33,160,190,1,2,away_team,False,False,False,,Preliminary,Lisboa,,1934
34,131,49,4,1,home_team,False,False,False,,Preliminary,México DF,,1934
35,103,83,4,0,home_team,False,False,False,,Preliminary,Milano,,1934
36,31,94,1,4,away_team,False,False,False,,Preliminary,Sofija,,1934
37,153,65,1,4,away_team,False,False,False,,Preliminary,Jerusalem,,1934
38,141,101,5,2,home_team,False,False,False,,Preliminary,Amsterdam,,1934
39,120,76,1,6,away_team,False,False,False,,Preliminary,Luxembourg,,1934
40,14,31,6,1,home_team,False,False,False,,Preliminary,Wien,,1934
41,94,31,4,1,home_team,False,False,False,,Preliminary,Budapest,,1934
42,164,226,2,1,home_team,False,False,False,,Preliminary,Bucureşti,,1934
43,21,141,2,4,away_team,False,False,False,,Preliminary,Antwerpen,,1934
44,213,131,4,2,home_team,False,False,False,,Preliminary,Roma,,1934
45,103,213,7,1,home_team,False,False,False,,Preliminary,Roma,,1934
46,14,76,3,2,home_team,True,False,False,,Preliminary,Torino,,1934
47,72,21,5,2,home_team,False,False,False,,Preliminary,Firenze,,1934
48,53,164,2,1,home_team,False,False,False,,Preliminary,Trieste,,1934
49,196,141,3,2,home_team,False,False,False,,Preliminary,Milano,,1934
50,195,10,3,2,home_team,False,False,False,,Preliminary,Bologna,,1934
51,190,28,3,1,home_team,False,False,False,,Preliminary,Genova,,1934
52,94,65,4,2,home_team,False,False,False,,Preliminary,Napoli,,1934
53,14,94,2,1,home_team,False,False,False,,Quarter-finals,Bologna,,1934
54,53,196,3,2,home_team,False,False,False,,Quarter-finals,Torino,,1934
55,72,195,2,1,home_team,False,False,False,,Quarter-finals,Milano,,1934
56,103,190,1,1,draw,True,False,False,,Quarter-finals,Firenze,,1934
57,103,190,1,0,home_team,False,False,True,,Quarter-finals,Firenze,,1934
58,103,14,1,0,home_team,False,False,False,,Semi-finals,Milano,,1934
59,53,72,3,1,home_team,False,False,False,,Semi-finals,Roma,,1934
