id_match,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
1,Russia,Saudi Arabia,5,0,home_team,False,False,False,2018-06-14,Group Stage,Moscow,Luzhniki Stadium,2018
2,Egypt,Uruguay,0,1,away_team,False,False,False,2018-06-15,Group Stage,Yekaterinburg,Central Stadium,2018
17,Russia,Egypt,3,1,home_team,False,False,False,2018-06-19,Group Stage,Saint Petersburg,Krestovsky Stadium,2018
18,Uruguay,Saudi Arabia,1,0,home_team,False,False,False,2018-06-20,Group Stage,Rostov-on-Don,Rostov Arena,2018
33,Uruguay,Russia,3,0,home_team,False,False,False,2018-06-25,Group Stage,Samara,Cosmos Arena,2018
34,Saudi Arabia,Egypt,2,1,home_team,False,False,False,2018-06-25,Group Stage,Volgograd,Volgograd Arena,2018
3,Portugal,Spain,3,3,draw,False,False,False,2018-06-15,Group Stage,Sochi,Fisht Olympic Stadium,2018
4,Morocco,Iran,0,1,away_team,False,False,False,2018-06-15,Group Stage,Saint Petersburg,Krestovsky Stadium,2018
19,Portugal,Morocco,1,0,home_team,False,False,False,2018-06-20,Group Stage,Moscow,Luzhniki Stadium,2018
20,Iran,Spain,0,1,away_team,False,False,False,2018-06-20,Group Stage,Kazan,Kazan Arena,2018
35,Iran,Portugal,1,1,draw,False,False,False,2018-06-25,Group Stage,Saransk,Mordovia Arena,2018
36,Spain,Morocco,2,2,draw,False,False,False,2018-06-25,Group Stage,Kaliningrad,Kaliningrad Stadium,2018
5,France,Australia,2,1,home_team,False,False,False,2018-06-16,Group Stage,Kazan,Kazan Arena,2018
6,Peru,Denmark,0,1,away_team,False,False,False,2018-06-16,Group Stage,Saransk,Mordovia Arena,2018
21,France,Peru,1,0,home_team,False,False,False,2018-06-21,Group Stage,Yekaterinburg,Central Stadium,2018
22,Denmark,Australia,1,1,draw,False,False,False,2018-06-21,Group Stage,Samara,Cosmos Arena,2018
37,Denmark,France,0,0,draw,False,False,False,2018-06-26,Group Stage,Moscow,Luzhniki Stadium,2018
38,Australia,Peru,0,2,away_team,False,False,False,2018-06-26,Group Stage,Sochi,Fisht Olympic Stadium,2018
7,Argentina,Iceland,1,1,draw,False,False,False,2018-06-16,Group Stage,Moscow,Otkrytiye Arena,2018
8,Croatia,Nigeria,2,0,home_team,False,False,False,2018-06-16,Group Stage,Kaliningrad,Kaliningrad Stadium,2018
23,Argentina,Croatia,0,3,away_team,False,False,False,2018-06-21,Group Stage,Nizhny Novgorod,Nizhny Novgorod Stadium,2018
24,Nigeria,Iceland,2,0,home_team,False,False,False,2018-06-22,Group Stage,Volgograd,Volgograd Arena,2018
39,Nigeria,Argentina,1,2,away_team,False,False,False,2018-06-26,Group Stage,Saint Petersburg,Krestovsky Stadium,2018
40,Iceland,Croatia,1,2,away_team,False,False,False,2018-06-26,Group Stage,Rostov-on-Don,Rostov Arena,2018
9,Brazil,Switzerland,1,1,draw,False,False,False,2018-06-17,Group Stage,Rostov-on-Don,Rostov Arena,2018
10,Costa Rica,Serbia,0,1,away_team,False,False,False,2018-06-17,Group Stage,Samara,Cosmos Arena,2018
25,Brazil,Costa Rica,2,0,home_team,False,False,False,2018-06-22,Group Stage,Saint Petersburg,Krestovsky Stadium,2018
26,Serbia,Switzerland,1,2,away_team,False,False,False,2018-06-22,Group Stage,Kaliningrad,Kaliningrad Stadium,2018
41,Serbia,Brazil,0,2,away_team,False,False,False,2018-06-27,Group Stage,Moscow,Otkrytiye Arena,2018
42,Switzerland,Costa Rica,2,2,draw,False,False,False,2018-06-27,Group Stage,Nizhny Novgorod,Nizhny Novgorod Stadium,2018
11,Germany,Mexico,0,1,away_team,False,False,False,2018-06-17,Group Stage,Moscow,Luzhniki Stadium,2018
12,Sweden,South Korea,1,0,home_team,False,False,False,2018-06-18,Group Stage,Nizhny Novgorod,Nizhny Novgorod Stadium,2018
27,Germany,Sweden,2,1,home_team,False,False,False,2018-06-23,Group Stage,Sochi,Fisht Olympic Stadium,2018
28,South Korea,Mexico,1,2,away_team,False,False,False,2018-06-23,Group Stage,Rostov-on-Don,Rostov Arena,2018
43,South Korea,Germany,2,0,home_team,False,False,False,2018-06-27,Group Stage,Kazan,Kazan Arena,2018
44,Mexico,Sweden,0,3,away_team,False,False,False,2018-06-27,Group Stage,Yekaterinburg,Central Stadium,2018
13,Belgium,Panama,3,0,home_team,False,False,False,2018-06-18,Group Stage,Sochi,Fisht Olympic Stadium,2018
14,Tunisia,England,1,2,away_team,False,False,False,2018-06-18,Group Stage,Volgograd,Volgograd Arena,2018
29,Belgium,Tunisia,5,2,home_team,False,False,False,2018-06-23,Group Stage,Moscow,Otkrytiye Arena,2018
30,England,Panama,6,1,home_team,False,False,False,2018-06-24,Group Stage,Nizhny Novgorod,Nizhny Novgorod Stadium,2018
45,England,Belgium,0,1,away_team,False,False,False,2018-06-28,Group Stage,Kaliningrad,Kaliningrad Stadium,2018
46,Panama,Tunisia,1,2,away_team,False,False,False,2018-06-28,Group Stage,Saransk,Mordovia Arena,2018
15,Poland,Senegal,1,2,away_team,False,False,False,2018-06-19,Group Stage,Moscow,Otkrytiye Arena,2018
16,Colombia,Japan,1,2,away_team,False,False,False,2018-06-19,Group Stage,Saransk,Mordovia Arena,2018
31,Poland,Colombia,0,3,away_team,False,False,False,2018-06-24,Group Stage,Kazan,Kazan Arena,2018
32,Japan,Senegal,2,2,draw,False,False,False,2018-06-24,Group Stage,Yekaterinburg,Central Stadium,2018
47,Japan,Poland,0,1,away_team,False,False,False,2018-06-28,Group Stage,Volgograd,Volgograd Arena,2018
48,Senegal,Colombia,0,1,away_team,False,False,False,2018-06-28,Group Stage,Samara,Cosmos Arena,2018
49,Uruguay,Portugal,2,1,home_team,False,False,False,2018-06-30,Round of 16,Sochi,Fisht Olympic Stadium,2018
50,France,Argentina,4,3,home_team,False,False,False,2018-06-30,Round of 16,Kazan,Kazan Arena,2018
51,Spain,Russia,1,1,draw,True,True,False,2018-07-01,Round of 16,Moscow,Luzhniki Stadium,2018
52,Croatia,Denmark,1,1,draw,True,True,False,2018-07-01,Round of 16,Nizhny Novgorod,Nizhny Novgorod Stadium,2018
53,Brazil,Mexico,2,0,home_team,False,False,False,2018-07-02,Round of 16,Samara,Cosmos Arena,2018
54,Belgium,Japan,3,2,home_team,False,False,False,2018-07-02,Round of 16,Rostov-on-Don,Rostov Arena,2018
55,Sweden,Switzerland,1,0,home_team,False,False,False,2018-07-03,Round of 16,Saint Petersburg,Krestovsky Stadium,2018
56,Colombia,England,1,1,draw,True,True,False,2018-07-03,Round of 16,Moscow,Otkrytiye Arena,2018
57,Uruguay,France,0,2,away_team,False,False,False,2018-07-06,Quarter-finals,Nizhny Novgorod,Nizhny Novgorod Stadium,2018
58,Brazil,Belgium,1,2,away_team,False,False,False,2018-07-06,Quarter-finals,Kazan,Kazan Arena,2018
59,Russia,Croatia,2,2,draw,True,True,False,2018-07-07,Quarter-finals,Sochi,Fisht Olympic Stadium,2018
60,Sweden,England,0,2,away_team,False,False,False,2018-07-07,Quarter-finals,Samara,Cosmos Arena,2018
61,France,Belgium,1,0,home_team,False,False,False,2018-07-10,Semi-finals,Saint Petersburg,Krestovsky Stadium,2018
62,Croatia,England,2,1,home_team,False,False,False,2018-07-11,Semi-finals,Moscow,Luzhniki Stadium,2018
