id_match,home_team,away_team,home_result,away_result,date,round,city,edition
1,France,Mexico,4,1,1930/07/13,Group Stage,Montevideo,1930
2,USA,Belgium,3,0,1930/07/13,Group Stage,Montevideo,1930
3,Yugoslavia,Brazil,2,1,1930/07/14,Group Stage,Montevideo,1930
4,Romania,Peru,3,1,1930/07/14,Group Stage,Montevideo,1930
5,Argentina,France,1,0,1930/07/15,Group Stage,Montevideo,1930
6,Chile,Mexico,3,0,1930/07/16,Group Stage,Montevideo,1930
7,Yugoslavia,Bolivia,4,0,1930/07/17,Group Stage,Montevideo,1930
8,USA,Paraguay,3,0,1930/07/17,Group Stage,Montevideo,1930
9,Uruguay,Peru,1,0,1930/07/18,Group Stage,Montevideo,1930
10,Chile,France,1,0,1930/07/19,Group Stage,Montevideo,1930
11,Argentina,Mexico,6,3,1930/07/19,Group Stage,Montevideo,1930
12,Brazil,Bolivia,4,0,1930/07/20,Group Stage,Montevideo,1930
13,Paraguay,Belgium,1,0,1930/07/20,Group Stage,Montevideo,1930
14,Uruguay,Romania,4,0,1930/07/21,Group Stage,Montevideo,1930
15,Argentina,Chile,3,1,1930/07/22,Group Stage,Montevideo,1930
16,Argentina,USA,6,1,1930/07/26,Semi-finals,Montevideo,1930
17,Uruguay,Yugoslavia,6,1,1930/07/27,Semi-finals,Montevideo,1930
18,Uruguay,Argentina,4,2,1930/07/30,Final,Montevideo,1930
19,Sweden,Estonia,6,2,,Preliminary,Stockholm,1934
19,Italy,USA,7,1,1934/05/27,Round of 16,Rome,1934
20,Lithuania,Sweden,0,2,,Preliminary,Kaunas,1934
20,Czechoslovakia,Romania,2,1,1934/05/27,Round of 16,Trieste,1934
21,Yugoslavia,Switzerland,2,2,,Preliminary,Beograd,1934
21,Germany,Belgium,5,2,1934/05/27,Round of 16,Florence,1934
22,Poland,Czechoslovakia,1,2,,Preliminary,Warszawa,1934
22,Austria,France,3,2,1934/05/27,Round of 16,Turin,1934
23,Switzerland,Romania,2,0,,Preliminary,Bern,1934
23,Spain,Brazil,3,1,1934/05/27,Round of 16,Genoa,1934
24,Haiti,Cuba,1,3,,Preliminary,Port-au-Prince,1934
24,Switzerland,Netherlands,3,2,1934/05/27,Round of 16,Milan,1934
25,Haiti,Cuba,1,1,,Preliminary,Port-au-Prince,1934
25,Sweden,Argentina,3,2,1934/05/27,Round of 16,Bologna,1934
26,Haiti,Cuba,0,6,,Preliminary,Port-au-Prince,1934
26,Hungary,Egypt,4,2,1934/05/27,Round of 16,Naples,1934
27,Irish Free State,Belgium,4,4,,Preliminary,Dublin,1934
27,Italy,Spain,1,1,1934/05/31,Quarter-finals,Florence,1934
28,Mexico,Cuba,3,2,,Preliminary,México DF,1934
28,Austria,Hungary,2,1,1934/05/31,Quarter-finals,Bologna,1934
29,Spain,Portugal,9,0,,Preliminary,Madrid,1934
29,Czechoslovakia,Switzerland,3,2,1934/05/31,Quarter-finals,Turin,1934
30,Luxembourg,Germany,1,9,,Preliminary,Luxembourg,1934
30,Germany,Sweden,2,1,1934/05/31,Quarter-finals,Milan,1934
31,Mexico,Cuba,5,0,,Preliminary,México DF,1934
31,Italy,Spain,1,0,1934/06/01,Quarter-finals,Florence,1934
32,Egypt,Palestine,7,1,,Preliminary,Cairo,1934
32,Italy,Austria,1,0,1934/06/03,Semi-finals,Milan,1934
33,Portugal,Spain,1,2,,Preliminary,Lisboa,1934
33,Czechoslovakia,Germany,3,1,1934/06/03,Semi-finals,Rome,1934
34,Mexico,Cuba,4,1,,Preliminary,México DF,1934
34,Germany,Austria,3,2,1934/06/07,Third Place,Naples,1934
35,Italy,Greece,4,0,,Preliminary,Milano,1934
35,Italy,Czechoslovakia,2,1,1934/06/10,Final,Rome,1934
36,Bulgaria,Hungary,1,4,,Preliminary,Sofija,1934
37,Palestine,Egypt,1,4,,Preliminary,Jerusalem,1934
38,Netherlands,Irish Free State,5,2,,Preliminary,Amsterdam,1934
39,Luxembourg,France,1,6,,Preliminary,Luxembourg,1934
40,Austria,Bulgaria,6,1,,Preliminary,Wien,1934
41,Hungary,Bulgaria,4,1,,Preliminary,Budapest,1934
42,Romania,Yugoslavia,2,1,,Preliminary,Bucureşti,1934
43,Belgium,Netherlands,2,4,,Preliminary,Antwerpen,1934
44,USA,Mexico,4,2,,Preliminary,Roma,1934
45,Italy,USA,7,1,,Preliminary,Roma,1934
46,Austria,France,3,2,,Preliminary,Torino,1934
47,Germany,Belgium,5,2,,Preliminary,Firenze,1934
48,Czechoslovakia,Romania,2,1,,Preliminary,Trieste,1934
49,Switzerland,Netherlands,3,2,,Preliminary,Milano,1934
50,Sweden,Argentina,3,2,,Preliminary,Bologna,1934
