id_match,home_team,away_team,home_score,away_score,date,round,city,edition
1,France,Mexico,4,1,1930-07-13,Group Stage,Montevideo,1930
2,USA,Belgium,3,0,1930-07-13,Group Stage,Montevideo,1930
3,Yugoslavia,Brazil,2,1,1930-07-14,Group Stage,Montevideo,1930
4,Romania,Peru,3,1,1930-07-14,Group Stage,Montevideo,1930
5,Argentina,France,1,0,1930-07-15,Group Stage,Montevideo,1930
6,Chile,Mexico,3,0,1930-07-16,Group Stage,Montevideo,1930
7,Yugoslavia,Bolivia,4,0,1930-07-17,Group Stage,Montevideo,1930
8,USA,Paraguay,3,0,1930-07-17,Group Stage,Montevideo,1930
9,Uruguay,Peru,1,0,1930-07-18,Group Stage,Montevideo,1930
10,Chile,France,1,0,1930-07-19,Group Stage,Montevideo,1930
11,Argentina,Mexico,6,3,1930-07-19,Group Stage,Montevideo,1930
12,Brazil,Bolivia,4,0,1930-07-20,Group Stage,Montevideo,1930
13,Paraguay,Belgium,1,0,1930-07-20,Group Stage,Montevideo,1930
14,Uruguay,Romania,4,0,1930-07-21,Group Stage,Montevideo,1930
15,Argentina,Chile,3,1,1930-07-22,Group Stage,Montevideo,1930
16,Argentina,USA,6,1,1930-07-26,Semi-finals,Montevideo,1930
17,Uruguay,Yugoslavia,6,1,1930-07-27,Semi-finals,Montevideo,1930
18,Uruguay,Argentina,4,2,1930-07-30,Final,Montevideo,1930
19,Italy,USA,7,1,1934-05-27,Round of 16,Rome,1934
20,Czechoslovakia,Romania,2,1,1934-05-27,Round of 16,Trieste,1934
21,Germany,Belgium,5,2,1934-05-27,Round of 16,Florence,1934
22,Austria,France,3,2,1934-05-27,Round of 16,Turin,1934
23,Spain,Brazil,3,1,1934-05-27,Round of 16,Genoa,1934
24,Switzerland,Netherlands,3,2,1934-05-27,Round of 16,Milan,1934
25,Sweden,Argentina,3,2,1934-05-27,Round of 16,Bologna,1934
26,Hungary,Egypt,4,2,1934-05-27,Round of 16,Naples,1934
27,Italy,Spain,1,1,1934-05-31,Quarter-finals,Florence,1934
28,Austria,Hungary,2,1,1934-05-31,Quarter-finals,Bologna,1934
29,Czechoslovakia,Switzerland,3,2,1934-05-31,Quarter-finals,Turin,1934
30,Germany,Sweden,2,1,1934-05-31,Quarter-finals,Milan,1934
31,Italy,Spain,1,0,1934-06-01,Quarter-finals,Florence,1934
32,Italy,Austria,1,0,1934-06-03,Semi-finals,Milan,1934
33,Czechoslovakia,Germany,3,1,1934-06-03,Semi-finals,Rome,1934
34,Germany,Austria,3,2,1934-06-07,Third Place,Naples,1934
35,Italy,Czechoslovakia,2,1,1934-06-10,Final,Rome,1934
36,Switzerland,Germany,1,1,1938-06-04,Round of 16,Paris,1938
37,Cuba,Romania,3,3,1938-06-05,Round of 16,Toulouse,1938
38,Hungary,Dutch East Indies,6,0,1938-06-05,Round of 16,Reims,1938
39,France,Belgium,3,1,1938-06-05,Round of 16,Paris,1938
40,Czechoslovakia,Netherlands,3,0,1938-06-05,Round of 16,Le Havre,1938
41,Brazil,Poland,6,5,1938-06-05,Round of 16,Strasbourg,1938
42,Italy,Norway,2,1,1938-06-05,Round of 16,Marseille,1938
43,Switzerland,Germany,4,2,1938-06-09,Round of 16,Paris,1938
44,Cuba,Romania,2,1,1938-06-09,Round of 16,Toulouse,1938
45,Sweden,Cuba,8,0,1938-06-12,Quarter-finals,Antibes,1938
46,Hungary,Switzerland,2,0,1938-06-12,Quarter-finals,Lille,1938
47,Italy,France,3,1,1938-06-12,Quarter-finals,Paris,1938
48,Brazil,Czechoslovakia,1,1,1938-06-12,Quarter-finals,Bordeaux,1938
49,Brazil,Czechoslovakia,2,1,1938-06-14,Quarter-finals,Bordeaux,1938
50,Italy,Brazil,2,1,1938-06-16,Semi-finals,Marseille,1938
51,Hungary,Sweden,5,1,1938-06-16,Semi-finals,Paris,1938
52,Brazil,Sweden,4,2,1938-06-19,Third Place,Bordeaux,1938
53,Italy,Hungary,4,2,1938-06-19,Final,Paris,1938
54,Brazil,Mexico,4,0,1950-06-24,Group Stage,Rio de Janeiro,1950
55,Yugoslavia,Switzerland,3,0,1950-06-25,Group Stage,Belo Horizonte,1950
56,England,Chile,2,0,1950-06-25,Group Stage,Rio de Janeiro,1950
57,Spain,USA,3,1,1950-06-25,Group Stage,Curitiba,1950
58,Sweden,Italy,3,2,1950-06-25,Group Stage,Sao Paulo,1950
59,Brazil,Switzerland,2,2,1950-06-28,Group Stage,Sao Paulo,1950
60,Yugoslavia,Mexico,4,1,1950-06-28,Group Stage,Porto Alegre,1950
61,Spain,Chile,2,0,1950-06-29,Group Stage,Rio de Janeiro,1950
