id_team,nom_standard,confederation,aliases
1,Afghanistan (افغانستان),,[]
2,Albania (Shqipëri),,[]
3,Algeria,,[]
4,Algeria (الجزائر),,[]
5,American Samoa,,[]
6,Andorra,,[]
7,Angola,,[]
8,Anguilla,,[]
9,Antigua,,[]
10,Antigua and Barbuda,,[]
11,Argentina,,[]
12,Armenia (Հայաստան),,[]
13,Aruba,,[]
14,Australia,,[]
15,Austria (Österreich),,[]
16,Azerbaijan (Azərbaycan),,[]
17,Bahamas,,[]
18,Bahrain (البحرين),,[]
19,Bangladesh (বাংলাদেশ),,[]
20,Barbados,,[]
21,Belarus (Беларусь),,[]
22,Belgium,,[]
23,Belgium (België),,[]
24,Belize,,[]
25,Benin (Bénin),,[]
26,Bermuda,,[]
27,Bolivia,,[]
28,Bosnia-Herzegovina,,[]
29,Bosnia-Herzegovina (Bosna i Hercegovina),,[]
30,Botswana,,[]
31,Brazil,,[]
32,Brazil (Brasil),,[]
33,British Virgin Islands,,[]
34,Brunei (بروني),,[]
35,Bulgaria (България),,[]
36,Burkina Faso,,[]
37,Burundi,,[]
38,Cambodia (កម្ពុជា),,[]
39,Cameroon,,[]
40,Cameroon (Cameroun),,[]
41,Canada,,[]
42,Cape Verde (Cabo Verde),,[]
43,Cayman Islands,,[]
44,Central African Republic (Centrafrique),,[]
45,Chad (Tchad / تشاد),,[]
46,Chile,,[]
47,China (中国),,[]
48,Colombia,,[]
49,Comoros (جزر القمر),,[]
50,Congo,,[]
51,Cook Islands,,[]
52,Costa Rica,,[]
53,Croatia,,[]
54,Croatia (Hrvatska),,[]
55,Cuba,,[]
56,Curaçao,,[]
57,Cyprus (Κύπρος),,[]
58,Czech Republic (Česká Republika),,[]
59,Czechoslovakia (Československo),,[]
60,D.R. Congo (R.D. Congo),,[]
61,Dahomey,,[]
62,Denmark,,[]
63,Denmark (Danmark),,[]
64,Djibouti (جيبوتي),,[]
65,Dominica,,[]
66,Dominican Republic (República Dominicana),,[]
67,Dutch Antilles (Nederlandse Antillen),,[]
68,Dutch East Indies (Nederlands-Indië),,[]
69,Dutch Guyana (Nederlands Guyana),,[]
70,East Timor (Timor-Leste),,[]
71,Ecuador,,[]
72,Egypt,,[]
73,Egypt (مصر),,[]
74,El Salvador,,[]
75,England,,[]
76,Equatorial Guinea (Guinea Ecuatorial),,[]
77,Eritrea (ኤርትራ / إرتريا),,[]
78,Estonia (Eesti),,[]
79,Ethiopia (ኢትዮጵያ),,[]
80,FRG (BRD / Westdeutschland),,[]
81,Faroe Islands (Føroyar),,[]
82,Fiji,,[]
83,Finland (Suomi),,[]
84,France,,[]
85,GDR (DDR / Ostdeutschland),,[]
86,Gabon,,[]
87,Gambia,,[]
88,Georgia (საქართველო),,[]
89,Germany,,[]
90,Germany (Deutschland),,[]
91,Ghana,,[]
